ID_Perusahaan,ID_Tender,Spread_SPD_Scaled,Relative_Diff_RD_Scaled,Geographic_Diff_Scaled
877,26,0.8518373,0.5990979,0.6335636
964,14,0.6847905,0.21656905,0.12191641
654,48,0.7014702,0.27480322,0.51566446
38,123,0.9218941,0.49511513,0.12586536
239,188,0.8560608,0.90804005,0.41105995
712,188,0.54066795,0.13916996,0.49007007
702,49,0.29715103,0.7033914,0.08316526
596,95,0.6606361,0.33656186,0.68169785
997,7,0.76769066,0.77364856,0.5636892
253,124,0.03247536,0.35559306,0.035604324
388,10,0.618668,0.55400264,0.77155375
135,178,0.32474336,0.8825919,0.2155597
767,46,0.058560688,0.55654526,0.6947543
944,118,0.92930186,0.56920105,0.31462663
508,124,0.7075659,0.20402284,0.7282522
34,51,0.97748125,0.9222612,0.7806115
508,20,0.3166811,0.8491508,0.42448243
411,127,0.8875459,0.5256379,0.22162159
818,1,0.53877515,0.8867631,0.022585558
474,140,0.87971276,0.17949808,0.04885386
584,34,0.010144903,0.21987008,0.14487644
20,143,0.0074870875,0.8855497,0.9548137
176,149,0.89444226,0.6442343,0.3139872
74,59,0.47026852,0.28873312,0.90482044
572,108,0.5544312,0.73489714,0.7715654
212,122,0.9832228,0.1514228,0.8974273
830,135,0.90672636,0.781328,0.07463123
947,32,0.053648192,0.8923846,0.18476014
322,70,0.030153178,0.19057107,0.59463465
716,102,0.06845113,0.53486806,0.4398987
19,25,0.19981351,0.28358042,0.8733198
284,121,0.33164728,0.98871046,0.101141885
736,190,0.22406788,0.753514,0.51545817
622,4,0.050866093,0.30079526,0.3647943
311,193,0.25568,0.9462584,0.90647304
919,13,0.58088183,0.24713771,0.09150734
939,126,0.76098734,0.6341029,0.5478541
439,88,0.6326607,0.80461925,0.022902649
38,106,0.42289403,0.33519042,0.8354278
403,58,0.34602585,0.6653229,0.51487774
287,87,0.7954568,0.39201453,0.18966389
290,99,0.5108125,0.8215383,0.6111998
19,67,0.9126595,0.89789796,0.4169702
709,175,0.053851116,0.23521097,0.20603572
293,117,0.89615697,0.71139026,0.68235296
158,103,0.17380542,0.9755662,0.45656404
132,3,0.074979916,0.27479035,0.949189
161,16,0.23722492,0.3947863,0.9786907
747,153,0.7758568,0.3734053,0.87608296
111,178,0.92159224,0.9243077,0.93892336
618,21,0.6269645,0.52045476,0.5875692
412,83,0.31428736,0.83436185,0.7594176
912,11,0.7254294,0.5854465,0.18285829
830,102,0.53049105,0.6625535,0.50784785
223,199,0.6773301,0.27849734,0.16088025
339,159,0.49874473,0.95219356,0.15141106
124,97,0.53920645,0.7471346,0.9627922
3,151,0.015602233,0.9940443,0.25267464
405,145,0.025033476,0.032374818,0.58149785
644,69,0.47270525,0.7920003,0.9326285
57,75,0.054255065,0.26356786,0.4200649
881,5,0.35124704,0.90279806,0.074804775
704,44,0.03728649,0.5141326,0.34803835
10,143,0.6044106,0.2869913,0.9168781
411,177,0.57367426,0.6093574,0.3587973
946,157,0.7602181,0.25505596,0.69200885
315,190,0.6403942,0.6979046,0.35979217
600,85,0.4194242,0.5005589,0.7024086
214,135,0.58552974,0.6116503,0.20981975
899,76,0.11209377,0.45714188,0.21853225
122,169,0.09388564,0.5220477,0.01907876
384,26,0.20138714,0.056629788,0.33971527
20,145,0.011620456,0.31755832,0.25865987
643,120,0.363484,0.36955473,0.043606002
597,0,0.29584357,0.7008027,0.9415645
591,127,0.88146275,0.3444711,0.27330968
648,129,0.4683994,0.74095744,0.027566671
959,18,0.028588355,0.04258567,0.6719932
597,124,0.6546917,0.34739608,0.60916674
989,128,0.065556385,0.9464921,0.1396859
246,29,0.28033218,0.4924422,0.34479955
235,22,0.80596936,0.13467272,0.056636643
748,158,0.7287859,0.7500769,0.5398125
494,9,0.72492033,0.24706873,0.6619575
659,179,0.994785,0.5029059,0.2926191
702,84,0.18577915,0.8332602,0.8403004
210,137,0.08522415,0.09129917,0.8130539
545,170,0.8968453,0.38104427,0.71299225
617,180,0.1918146,0.8595526,0.5259743
647,48,0.084903546,0.088731006,0.9928977
248,66,0.07086565,0.56495017,0.8902079
697,2,0.061971277,0.27677613,0.6864427
283,170,0.18886538,0.60719097,0.8190598
491,53,0.389878,0.8451599,0.2842787
322,26,0.70247716,0.35606927,0.80365306
738,134,0.59363097,0.8176368,0.47203353
491,187,0.5753713,0.3134282,0.7984384
425,42,0.46349043,0.73104507,0.9861201
609,154,0.76708835,0.55545837,0.57033944
446,32,0.9127067,0.9178906,0.3844736
811,47,0.09918553,0.5638483,0.45601147
458,3,0.4457781,0.50033987,0.3884995
219,127,0.09242811,0.23559,0.47489464
774,57,0.7890014,0.805936,0.113643944
76,9,0.5555786,0.58380926,0.4848731
608,102,0.5280566,0.76340264,0.77513516
406,17,0.0882885,0.076069914,0.4394
942,103,0.43755767,0.07134962,0.9049787
736,50,0.35241616,0.11830029,0.21165006
322,30,0.9157956,0.92661846,0.7961018
709,85,0.09480973,0.1380611,0.8278087
124,107,0.15763986,0.7977941,0.49275774
350,48,0.98568356,0.8671368,0.98063666
593,12,0.7939671,0.35010985,0.95316863
402,191,0.5929327,0.9316221,0.990412
713,100,0.038559373,0.14768326,0.018181967
288,67,0.47465578,0.63661265,0.33174974
136,64,0.3723202,0.74485964,0.4196233
406,182,0.09949739,0.99945176,0.1213335
501,137,0.08953564,0.90290934,0.7018439
169,3,0.38100356,0.1815171,0.29729956
484,158,0.76769674,0.26094916,0.28909382
593,180,0.028111339,0.6863126,0.99535406
193,179,0.09202627,0.10701165,0.5322133
27,150,0.6242283,0.3890269,0.77138674
414,131,0.71767366,0.76777655,0.09934967
137,150,0.7047729,0.8293208,0.27063626
566,7,0.8633651,0.12595652,0.48745254
89,91,0.02202692,0.7823866,0.15350752
745,6,0.4491153,0.89863557,0.52874374
794,192,0.5226235,0.8708402,0.7308157
328,127,0.002521274,0.07287774,0.9665864
199,8,0.049974177,0.19517833,0.7312242
974,163,0.64820033,0.6300616,0.11336267
548,126,0.0013386697,0.39315653,0.8172652
166,84,0.4518691,0.7452456,0.5352414
870,159,0.25053424,0.581437,0.008808349
537,39,0.9517848,0.26298258,0.55134493
15,59,0.49658495,0.6426378,0.89622384
410,82,0.12819278,0.44841275,0.71966815
736,127,0.23637119,0.599007,0.25180647
802,183,0.21926132,0.9243611,0.6495417
108,173,0.64244914,0.18320948,0.66912687
53,163,0.062447097,0.9997794,0.63222647
821,1,0.64953065,0.6325417,0.63207495
84,76,0.084122166,0.5700359,0.71615463
746,111,0.94030565,0.97649467,0.306907
686,93,0.86386,0.11239871,0.6744475
441,67,0.09389133,0.038767334,0.9833033
733,164,0.6578745,0.76614,0.10279259
294,104,0.7938496,0.532904,0.82582664
801,98,0.4135969,0.21867831,0.044461064
525,67,0.27367863,0.050685044,0.9583473
273,26,0.3974545,0.7761652,0.0028695185
544,177,0.09949784,0.37624767,0.04064073
632,73,0.49311024,0.6324501,0.87100315
135,37,0.6508107,0.3623784,0.52286714
723,54,0.70667386,0.8626051,0.9496604
958,78,0.06583321,0.9766497,0.066262886
30,160,0.651014,0.9813245,0.5129573
772,140,0.6680429,0.42710546,0.35853338
179,173,0.6596263,0.555469,0.76866204
999,11,0.12258938,0.7108928,0.8750671
725,135,0.80837154,0.08430109,0.24262027
183,74,0.6290855,0.66284853,0.8101136
748,140,0.7298964,0.8871919,0.6541389
947,65,0.076208085,0.021736076,0.025641823
675,148,0.25071162,0.3037944,0.51600516
661,142,0.75817895,0.7526066,0.975907
188,188,0.1382561,0.07134689,0.12296778
38,88,0.31698883,0.2104656,0.8402793
841,0,0.38823202,0.48015106,0.5657934
183,151,0.48711377,0.7635439,0.36537558
692,5,0.04171674,0.45640698,0.93696517
17,127,0.60741085,0.08912412,0.10626001
301,125,0.91500545,0.23620546,0.07586297
555,121,0.9417597,0.15410404,0.54687345
578,128,0.23100312,0.58393705,0.88576144
261,30,0.040495463,0.22786865,0.09741615
83,59,0.078873955,0.15964742,0.18645482
139,93,0.025770955,0.5211611,0.97548765
1,38,0.41540965,0.87107044,0.7791276
580,128,0.76689225,0.1603298,0.8059463
487,146,0.4439727,0.5117405,0.48516577
460,165,0.7308657,0.19530736,0.5244197
819,59,0.09142043,0.32280648,0.62351346
210,83,0.052645683,0.27981526,0.23379648
27,95,0.1668834,0.8803243,0.8172125
254,42,0.020924423,0.6691297,0.27983463
288,3,0.85419124,0.20720121,0.0865623
237,10,0.5976763,0.350814,0.2670124
147,67,0.24737974,0.007364387,0.028888067
531,102,0.69379383,0.9123727,0.65983254
80,172,0.06311487,0.73684144,0.6174087
132,151,0.07803174,0.9911722,0.3305352
111,43,0.5874655,0.520724,0.037561417
300,182,0.5735246,0.25221083,0.9908485
498,52,0.30618927,0.14379333,0.8141887
339,22,0.6090228,0.07624017,0.1292836
765,0,0.57295835,0.046894334,0.9925386
939,26,0.22937764,0.24032117,0.39722708
676,53,0.8545163,0.3742131,0.7262449
386,37,0.39298782,0.097367086,0.9880036
880,168,0.6915348,0.16833957,0.5421231
953,43,0.6933376,0.66382897,0.64296204
713,36,0.16692735,0.2570682,0.27077016
94,110,0.60951376,0.6297141,0.35841876
752,165,0.2334424,0.13110675,0.0037927588
449,108,0.70540005,0.4318108,0.6504858
852,23,0.5301358,0.43562534,0.5818764
539,29,0.27016166,0.9211044,0.7360743
460,66,0.36650032,0.53266793,0.74590087
824,192,0.62334216,0.9165102,0.8612517
447,9,0.7196971,0.112680264,0.6882719
286,2,0.17051107,0.26712525,0.12500672
456,29,0.64358044,0.18942606,0.21724376
130,121,0.018530311,0.2039312,0.68126607
175,169,0.19511576,0.19835941,0.028761521
975,113,0.23733214,0.58827,0.8027197
895,87,0.51494867,0.09840176,0.7283208
247,155,0.78031784,0.8662973,0.69357616
76,8,0.30262232,0.6532669,0.3175811
683,16,0.5256384,0.20340437,0.047187984
805,189,0.73916274,0.14575952,0.9098134
454,103,0.47725737,0.78870285,0.81416935
242,189,0.01078728,0.28574425,0.976333
404,199,0.4120471,0.28656748,0.5708218
196,125,0.98816043,0.105998375,0.9430744
136,6,0.53142583,0.4390177,0.055404108
90,130,0.0545838,0.82232,0.38615143
730,21,0.43995968,0.48950034,0.33391657
247,1,0.46059266,0.29350954,0.6852266
294,122,0.36567095,0.6355646,0.61445683
528,8,0.55043864,0.39955378,0.056035448
943,86,0.77782273,0.0052420916,0.029907836
317,43,0.57261276,0.06754746,0.7462853
888,116,0.12060648,0.036689293,0.82485706
234,183,0.077416986,0.2421973,0.7912802
765,23,0.015388569,0.65306556,0.5264593
583,199,0.807926,0.29428947,0.49809116
804,125,0.69691706,0.4567907,0.58711773
813,39,0.05237184,0.025712289,0.36938578
499,53,0.26825812,0.95528,0.06308525
218,15,0.012552917,0.9416842,0.7861569
201,67,0.6872175,0.29624167,0.2466637
308,69,0.05559897,0.05208127,0.059239704
298,188,0.30749318,0.580493,0.9885871
842,10,0.13389672,0.16132283,0.50800407
431,73,0.6243138,0.81317604,0.56826335
708,174,0.06095486,0.5608981,0.81677777
609,139,0.96206325,0.76504946,0.7221287
201,151,0.9765736,0.05586824,0.41499984
672,16,0.97700924,0.8152668,0.79491574
694,60,0.038592096,0.20691916,0.06969737
517,77,0.88384,0.86643505,0.2946852
847,128,0.24083354,0.13550358,0.13893165
546,125,0.51632047,0.4398579,0.27519253
590,95,0.49383593,0.8044732,0.37766275
536,8,0.29700443,0.09399742,0.51960075
430,126,0.30508718,0.496403,0.039269492
343,71,0.45796654,0.9538718,0.3683342
543,19,0.59871686,0.09842286,0.5372587
2,108,0.28744262,0.8894793,0.16763881
84,167,0.05340555,0.7913847,0.2999728
53,145,0.010133346,0.15681575,0.41991624
926,35,0.4239515,0.27693802,0.1449979
991,73,0.3397336,0.7811855,0.52386415
203,86,0.43436188,0.8183019,0.056659397
323,5,0.093500234,0.1771955,0.05226296
210,121,0.06950119,0.95549303,0.91454613
325,76,0.03670324,0.75333875,0.2096936
816,124,0.1576928,0.13274209,0.078605495
34,47,0.4553385,0.71975905,0.23391514
452,5,0.42520738,0.22532035,0.44483155
907,67,0.16470775,0.46043617,0.06165101
253,190,0.046615917,0.8129403,0.72065073
986,28,0.32256228,0.19114834,0.32016617
260,110,0.053688064,0.079673484,0.023936227
839,140,0.099862024,0.32943586,0.061639015
175,173,0.97786963,0.8928254,0.4313939
182,24,0.92508364,0.24039695,0.80497706
816,150,0.48374823,0.039612304,0.17647861
708,152,0.077306844,0.21305928,0.9492326
494,123,0.92882335,0.9800425,0.84301066
100,121,0.055601276,0.1954802,0.39781082
38,125,0.119779035,0.1605167,0.15931588
280,132,0.2737333,0.33376664,0.17385004
952,163,0.31932095,0.5144549,0.18100402
508,51,0.6910403,0.177158,0.37437683
65,34,0.78344375,0.24807826,0.46018422
115,51,0.32532632,0.6251417,0.181165
354,170,0.010447345,0.92708796,0.4479998
208,46,0.46675608,0.45552847,0.9833565
535,33,0.7825225,0.2993249,0.7461456
553,33,0.7207692,0.5900739,0.88234043
466,148,0.68420374,0.61253154,0.4307694
557,186,0.1753447,0.2347002,0.50558996
174,56,0.5107407,0.7848697,0.4725608
462,2,0.15456635,0.78669435,0.1203837
875,39,0.32614276,0.41296145,0.70025504
93,50,0.60323,0.9139957,0.07902312
726,149,0.094088994,0.24490786,0.6715424
632,51,0.64619833,0.910987,0.4369462
568,51,0.87838244,0.34496173,0.5425488
767,34,0.012620349,0.3412765,0.41614136
657,39,0.8288757,0.10379163,0.39213637
716,84,0.39157605,0.07858645,0.08913626
166,173,0.37486044,0.9358021,0.18720405
62,53,0.048157085,0.84182495,0.6762041
834,191,0.15542415,0.73608124,0.020510193
691,34,0.4696915,0.36528748,0.8817135
221,41,0.13144147,0.71372056,0.3802578
417,44,0.645984,0.66113895,0.41097867
861,7,0.07805559,0.46355292,0.48876956
659,133,0.4605892,0.24826188,0.017440192
931,169,0.73317426,0.18010037,0.3776612
369,65,0.83146524,0.6425579,0.88979733
867,34,0.22390696,0.76971364,0.20214802
582,54,0.01943529,0.3670096,0.88208544
853,35,0.45641783,0.2789876,0.47256443
497,146,0.41924784,0.00021131201,0.5186896
850,187,0.4464531,0.71109027,0.03556492
714,90,0.63739854,0.039151218,0.0910454
788,49,0.01131554,0.62251997,0.5942741
720,183,0.44313386,0.34081966,0.22266464
791,5,0.46875316,0.23913872,0.25740957
224,14,0.0089212665,0.2124782,0.8688997
5,190,0.6436051,0.444743,0.8688362
830,148,0.13092549,0.4654124,0.6136127
755,191,0.86773545,0.28196192,0.27059823
937,34,0.6992858,0.3929534,0.4898842
300,138,0.23605905,0.43410233,0.9567426
294,90,0.85488486,0.7586494,0.852458
311,145,0.9668727,0.94877404,0.13594593
545,104,0.28687868,0.2624157,0.6038095
381,120,0.8604106,0.79958403,0.72212267
785,158,0.25370044,0.18969166,0.7564021
415,52,0.6272184,0.04752516,0.7778717
578,44,0.54848313,0.8045108,0.6087914
262,31,0.05787315,0.05702284,0.3225663
27,31,0.28593564,0.8855387,0.48133504
381,83,0.5451112,0.05522605,0.3091555
642,103,0.45763922,0.3512234,0.25857055
666,118,0.37054926,0.70307493,0.4439602
145,146,0.7756047,0.3107199,0.14136024
676,166,0.40183237,0.27551228,0.965743
341,55,0.5380319,0.07258714,0.52330244
95,26,0.46963328,0.35134438,0.9188094
797,140,0.7413914,0.7227651,0.7553504
943,161,0.9082,0.59684783,0.93822175
563,19,0.75589657,0.30215448,0.42452973
897,42,0.81353647,0.47331244,0.22407943
924,124,0.7137746,0.43342698,0.20658103
594,146,0.91099745,0.7365295,0.088876635
863,55,0.88394,0.760017,0.69748074
105,127,0.64834946,0.12890868,0.024178345
482,29,0.07033803,0.88134545,0.44137397
490,146,0.01268673,0.50681543,0.45722243
678,57,0.1286102,0.75300837,0.16596885
11,174,0.60390604,0.712142,0.36367166
214,79,0.0778695,0.73175204,0.43009943
724,129,0.20567569,0.46624586,0.8743541
549,71,0.5531606,0.06867918,0.6214124
704,16,0.0675641,0.8985997,0.2247484
114,53,0.080235586,0.6969519,0.14086601
261,162,0.055423483,0.05148708,0.8619115
66,46,0.04201652,0.29844204,0.9311565
434,63,0.82761645,0.4908527,0.48571295
916,68,0.40700457,0.5807623,0.91847575
608,77,0.5208813,0.30283356,0.80536723
181,194,0.5833322,0.7475984,0.35357425
254,130,0.0784789,0.57618845,0.6491194
682,68,0.8143079,0.90145373,0.8956259
149,11,0.74555457,0.53873754,0.7600596
77,97,0.9045832,0.9606672,0.4976378
91,1,0.46634775,0.5698481,0.40114534
323,159,0.0075749275,0.23282705,0.923775
591,93,0.79227877,0.6430288,0.78747684
129,92,0.8983791,0.25899673,0.9551237
420,94,0.045952182,0.5037694,0.9516548
802,2,0.99320906,0.6716125,0.17787166
91,78,0.42929897,0.51740676,0.68184215
877,182,0.21090774,0.49807048,0.655529
204,76,0.19607463,0.0415288,0.14175342
253,192,0.08791665,0.3199918,0.6878131
566,13,0.32163006,0.895874,0.008742981
596,122,0.992095,0.3969355,0.2603169
570,71,0.6005375,0.9881758,0.5756379
769,184,0.11542431,0.15379477,0.72388107
672,112,0.94930017,0.689385,0.5540859
951,128,0.007494007,0.292072,0.4545589
970,107,0.303559,0.20147061,0.033975273
190,136,0.08774429,0.27051115,0.55384934
569,40,0.3399713,0.4350701,0.045071658
922,9,0.010531862,0.513741,0.50944614
417,17,0.6662161,0.29129887,0.114289194
439,115,0.28831547,0.8679698,0.5748393
474,18,0.42389208,0.85344815,0.73902994
592,122,0.07370494,0.05162785,0.5647685
780,3,0.17023014,0.238028,0.8990223
773,50,0.15191157,0.79374415,0.06512575
999,126,0.36573067,0.8098408,0.09795079
826,54,0.096118934,0.8145837,0.6910901
897,176,0.7462627,0.3638423,0.3592488
67,97,0.78037024,0.4641549,0.016410992
369,76,0.36995032,0.29762378,0.72938704
740,49,0.501232,0.060884725,0.8940298
136,96,0.6355688,0.07368017,0.9407979
31,132,0.8470451,0.9892704,0.42806956
714,152,0.12137523,0.5658408,0.049916584
656,125,0.81146777,0.3488096,0.6179969
837,143,0.609452,0.24948302,0.38735956
710,40,0.71753937,0.61928743,0.768178
772,84,0.9623434,0.4720152,0.12542816
258,9,0.76302516,0.59043926,0.51348215
510,199,0.06861953,0.73341346,0.40838397
788,102,0.06150076,0.21170919,0.86869144
741,20,0.027863167,0.17552891,0.83567256
235,147,0.7299378,0.32086915,0.77406394
583,123,0.13473338,0.37593803,0.21748331
299,99,0.45510948,0.3846285,0.3046369
750,189,0.8084793,0.44631478,0.15519536
36,74,0.524729,0.8794842,0.41225433
511,157,0.09801418,0.6385124,0.87713045
94,129,0.92019653,0.8781156,0.5820137
176,77,0.3446468,0.34297368,0.35275263
587,46,0.39164916,0.98840815,0.726053
723,60,0.33328614,0.5982767,0.235358
115,17,0.19048657,0.86779106,0.66148806
471,44,0.0072503076,0.57145715,0.6352981
740,184,0.037480984,0.8674694,0.11814855
322,118,0.1042134,0.083042085,0.83022034
715,99,0.04485271,0.029703433,0.35302916
208,5,0.6579441,0.39153212,0.19858873
639,61,0.5084057,0.7086348,0.75530285
473,56,0.93305355,0.36234364,0.5020074
933,84,0.8644385,0.82289857,0.69252163
439,186,0.46077392,0.75089055,0.73389655
658,147,0.18446533,0.21117742,0.83152854
326,2,0.7067707,0.54338026,0.2598601
946,97,0.5502964,0.16438438,0.21125135
491,198,0.4890752,0.14240324,0.9960997
523,191,0.5417157,0.77971405,0.36572555
427,94,0.6254592,0.5229333,0.73999155
805,163,0.49555844,0.16268,0.31441352
37,4,0.40436903,0.54756635,0.011009603
650,168,0.53346807,0.29214498,0.5332412
104,140,0.933566,0.3367764,0.6304687
636,118,0.55139506,0.36312222,0.07679404
856,126,0.04073382,0.81816226,0.2634325
410,68,0.019366084,0.45061478,0.08393036
432,199,0.08629241,0.6807652,0.36328557
247,177,0.25503957,0.22951499,0.0074769123
483,43,0.83182544,0.26322135,0.72233635
784,174,0.6452237,0.33578265,0.40324306
575,79,0.6466946,0.5518169,0.32176653
802,69,0.7688603,0.89635444,0.212335
160,4,0.11817534,0.08397458,0.35880512
423,152,0.51015687,0.7501353,0.55757385
296,73,0.34122813,0.80239195,0.85193694
268,72,0.5250634,0.24570093,0.46397996
827,38,0.43492243,0.06388215,0.42829946
846,21,0.7927058,0.8296787,0.8014505
826,192,0.08477343,0.6038336,0.97180027
882,131,0.035146724,0.67862004,0.22678688
882,183,0.19763319,0.26982164,0.700842
387,197,0.61087894,0.21181184,0.59556526
336,29,0.76586455,0.85922337,0.5740859
314,135,0.04632053,0.21947472,0.1988675
557,2,0.17533216,0.7355898,0.73756766
807,117,0.055874173,0.93619335,0.49183887
47,150,0.36260262,0.28011507,0.6797425
779,134,0.78618795,0.86591744,0.71592355
272,193,0.73868984,0.4865424,0.7354302
416,65,0.5550065,0.52927184,0.623548
848,122,0.52324325,0.62847275,0.55040824
340,170,0.27095535,0.26227614,0.6905517
86,10,0.6555966,0.60569537,0.1351666
720,34,0.7696287,0.5397575,0.31246707
254,59,0.034941547,0.8879145,0.012152004
471,183,0.024021247,0.8888409,0.32448268
886,60,0.84725374,0.08427657,0.5738627
705,109,0.08782391,0.63315433,0.49015608
330,31,0.10120526,0.95333624,0.14955977
309,185,0.07332541,0.43812135,0.7129752
551,52,0.15064315,0.93718785,0.94375086
874,185,0.8181347,0.40306127,0.19345246
976,79,0.19365728,0.46885413,0.2535938
813,155,0.089901716,0.9969897,0.19399989
849,125,0.69742286,0.29773593,0.2960071
957,160,0.15378867,0.729861,0.74452865
948,40,0.02756993,0.955811,0.060843457
757,89,0.912908,0.7343555,0.5671235
988,7,0.2726871,0.114948146,0.6708698
451,87,0.0030926263,0.41802895,0.47711405
176,88,0.20349726,0.9643101,0.27615005
575,117,0.4095208,0.53596234,0.55397135
604,31,0.55831337,0.72925115,0.006258617
395,115,0.510043,0.99151015,0.18416338
396,90,0.7400762,0.24909091,0.6906947
224,52,0.005855417,0.83986455,0.18592855
651,136,0.34462953,0.93243927,0.4087576
368,62,0.31524226,0.96897525,0.09292385
932,142,0.7457127,0.51767224,0.28430846
683,71,0.0016578715,0.74836403,0.95235497
355,140,0.6484852,0.00278388,0.7868169
466,146,0.39654085,0.29185015,0.39039865
470,92,0.38324928,0.68084204,0.2064205
697,75,0.14704566,0.10107614,0.4468149
361,13,0.2784002,0.30753136,0.35938427
671,186,0.8432322,0.51041317,0.8644248
723,56,0.70062125,0.53951806,0.9052945
768,150,0.055658903,0.06687055,0.62524796
239,185,0.7907004,0.6175108,0.5968128
887,5,0.13445649,0.72621024,0.47587904
903,6,0.68022597,0.93234926,0.21151912
66,170,0.96259004,0.02449996,0.3974294
88,30,0.7716041,0.26833057,0.89459413
644,193,0.52566636,0.7545841,0.25168148
951,9,0.06343836,0.06770777,0.0066020195
5,122,0.4935513,0.48364425,0.14225574
799,60,0.94927233,0.6280281,0.86038774
252,99,0.064990856,0.85165536,0.17737298
280,81,0.33420506,0.063241474,0.2431775
468,57,0.57792085,0.67732394,0.39033788
964,135,0.018009758,0.4660366,0.24816607
723,49,0.09356258,0.44694036,0.30124775
962,35,0.45056513,0.936337,0.8357207
124,103,0.86881125,0.7869733,0.7234066
702,132,0.9737674,0.92822534,0.6487584
587,131,0.93464303,0.5963127,0.68142134
485,96,0.60419244,0.09772526,0.7845765
297,114,0.07944921,0.8786371,0.5855535
596,133,0.1746675,0.13001756,0.21570969
853,18,0.74470776,0.585056,0.46342722
293,60,0.9216639,0.67226946,0.6857573
226,21,0.38043335,0.11211447,0.12488832
387,117,0.21859606,0.74369526,0.50264454
501,149,0.09951574,0.02902125,0.96305865
91,56,0.19283962,0.15344705,0.72745335
730,119,0.16102396,0.07901074,0.40965116
297,23,0.016449993,0.9588729,0.75137544
972,174,0.31027597,0.5148696,0.5229771
733,197,0.8995729,0.86307555,0.0041807266
388,8,0.048120067,0.054985337,0.6368468
183,112,0.5087041,0.13157943,0.16952164
145,199,0.14494637,0.8052963,0.17659298
426,76,0.43027964,0.5789321,0.26935035
308,115,0.07975166,0.16425796,0.88200504
928,128,0.09311836,0.88756186,0.086691566
439,114,0.08915883,0.53382486,0.13468799
376,127,0.302305,0.35632992,0.14435206
661,177,0.20133625,0.4928302,0.09942647
280,54,0.26253584,0.8926926,0.88344055
931,182,0.05864182,0.00066933973,0.8731895
321,136,0.7540994,0.71785504,0.79788005
929,124,0.08246869,0.3014974,0.36126107
873,152,0.11399653,0.883063,0.30033368
202,185,0.030865092,0.71947503,0.2724223
158,180,0.02272769,0.292116,0.0071310815
445,31,0.9550682,0.17633417,0.06513276
737,122,0.78460336,0.4506373,0.39032847
28,135,0.7328332,0.80529624,0.003463792
285,21,0.5088835,0.131495,0.42010832
669,85,0.531908,0.6375563,0.8862391
873,116,0.036919292,0.65139025,0.19936089
562,14,0.30842704,0.9485759,0.2937921
263,27,0.37501943,0.027539711,0.21298832
40,4,0.67008877,0.30191875,0.22185922
222,113,0.51768017,0.91348034,0.4716673
482,35,0.009427317,0.06812449,0.80744874
469,107,0.5919452,0.45382774,0.31510568
345,74,0.289736,0.9447959,0.7084397
86,199,0.4201867,0.99906284,0.74711716
583,95,0.43046677,0.64356476,0.9081502
129,172,0.31416026,0.5758356,0.98227006
661,18,0.070408374,0.8826967,0.01724939
844,61,0.84095675,0.29008365,0.57647884
836,171,0.6630696,0.56565195,0.24184103
645,104,0.14609225,0.18099773,0.4868126
101,87,0.5810001,0.91867,0.24731217
511,80,0.045698196,0.3831707,0.00634541
381,46,0.58722687,0.87959313,0.21291271
661,68,0.68923277,0.90142137,0.40399596
631,132,0.3757036,0.4108283,0.036087323
874,65,0.8817313,0.90969324,0.49656543
184,11,0.5099956,0.5079118,0.259325
124,9,0.71505857,0.6860748,0.8957624
